recno	Gal	RadG	vrot
1	"IC0342"	23.1	64
2	"IC0342"	27.0	67
3	"IC0342"	31.6	74
4	"IC0342"	36.9	84
5	"IC0342"	43.3	95
6	"IC0342"	50.6	107
7	"IC0342"	59.2	120
8	"IC0342"	69.3	127
9	"IC0342"	81.1	129
10	"IC0342"	94.8	128
11	"IC0342"	110.9	132
12	"IC0342"	129.8	137
13	"IC0342"	151.9	145
14	"IC0342"	177.7	156
15	"IC0342"	207.9	171
16	"IC0342"	243.3	183
17	"IC0342"	284.6	190
18	"IC0342"	333.0	192
19	"IC0342"	389.6	197
20	"NGC2403"	22.7	40
21	"NGC2403"	26.1	47
22	"NGC2403"	30.1	52
23	"NGC2403"	34.6	56
24	"NGC2403"	39.8	59
25	"NGC2403"	45.8	64
26	"NGC2403"	52.6	67
27	"NGC2403"	60.5	70
28	"NGC2403"	69.6	72
29	"NGC2403"	80.1	76
30	"NGC2403"	92.1	80
31	"NGC2403"	105.9	85
32	"NGC2403"	121.8	93
33	"NGC2403"	140.1	99
34	"NGC2403"	161.1	101
35	"NGC2403"	185.2	102
36	"NGC2403"	213.0	107
37	"NGC2403"	245.0	114
38	"NGC2403"	281.7	122
39	"NGC2403"	324.0	129
40	"NGC2403"	372.6	131
41	"NGC2403"	428.5	126
42	"NGC4294"	2.2	7
43	"NGC4294"	3.3	12
44	"NGC4294"	4.5	19
45	"NGC4294"	5.1	24
46	"NGC4294"	5.9	30
47	"NGC4294"	6.8	33
48	"NGC4294"	7.8	33
49	"NGC4294"	9.0	32
50	"NGC4294"	10.4	35
51	"NGC4294"	11.9	41
52	"NGC4294"	13.7	49
53	"NGC4294"	15.8	57
54	"NGC4294"	18.1	64
55	"NGC4294"	20.8	70
56	"NGC4294"	24.0	74
57	"NGC4294"	27.6	77
58	"NGC4294"	31.7	79
59	"NGC4294"	36.5	81
60	"NGC4294"	42.0	85
61	"NGC4294"	48.3	89
62	"NGC4294"	55.5	93
63	"NGC4294"	63.9	96
64	"NGC4294"	73.5	98
65	"NGC4519"	1.7	16
66	"NGC4519"	2.7	39
67	"NGC4519"	3.7	54
68	"NGC4519"	4.3	59
69	"NGC4519"	5.1	63
70	"NGC4519"	5.9	65
71	"NGC4519"	6.9	66
72	"NGC4519"	8.1	68
73	"NGC4519"	9.4	72
74	"NGC4519"	11.1	75
75	"NGC4519"	12.9	80
76	"NGC4519"	15.2	79
77	"NGC4519"	17.8	78
78	"NGC4519"	20.8	73
79	"NGC4519"	24.3	73
80	"NGC4519"	28.4	74
81	"NGC4519"	33.3	77
82	"NGC4519"	38.9	82
83	"NGC4519"	45.6	92
84	"NGC4519"	53.3	102
85	"NGC4519"	62.4	109
86	"NGC4519"	73.0	118
87	"NGC4519"	85.4	126
88	"NGC5371"	6.6	40
89	"NGC5371"	8.6	58
90	"NGC5371"	11.1	70
91	"NGC5371"	14.5	97
92	"NGC5371"	18.8	129
93	"NGC5371"	24.5	168
94	"NGC5371"	31.9	188
95	"NGC5371"	41.5	209
96	"NGC5371"	53.9	224
97	"NGC5371"	70.1	236
98	"NGC5371"	91.2	243
99	"NGC5921"	17.2	59
100	"NGC5921"	19.8	72
101	"NGC5921"	22.8	77
102	"NGC5921"	26.2	81
103	"NGC5921"	30.1	90
104	"NGC5921"	34.6	100
105	"NGC5921"	39.9	108
106	"NGC5921"	45.8	113
107	"NGC5921"	52.7	113
108	"NGC5921"	60.6	107
109	"NGC5921"	69.7	107
110	"NGC5921"	80.2	112
111	"NGC5921"	92.2	124
112	"NGC5921"	106.1	136
113	"NGC5964"	1.6	20
114	"NGC5964"	2.3	21
115	"NGC5964"	3.1	24
116	"NGC5964"	3.6	28
117	"NGC5964"	4.3	29
118	"NGC5964"	5.0	31
119	"NGC5964"	5.9	32
120	"NGC5964"	6.9	33
121	"NGC5964"	8.1	34
122	"NGC5964"	9.4	37
123	"NGC5964"	11.0	41
124	"NGC5964"	12.9	48
125	"NGC5964"	15.1	53
126	"NGC5964"	17.7	61
127	"NGC5964"	20.7	72
128	"NGC5964"	24.3	84
129	"NGC5964"	28.4	98
130	"NGC5964"	33.2	111
131	"NGC5964"	38.9	127
132	"NGC5964"	45.5	144
133	"NGC5964"	53.3	160
134	"NGC5964"	62.3	182
135	"NGC5964"	72.9	200
136	"NGC5964"	85.3	212
137	"NGC6946"	5.6	85
138	"NGC6946"	8.9	140
139	"NGC6946"	10.5	178
140	"NGC6946"	12.3	190
141	"NGC6946"	14.4	197
142	"NGC6946"	16.8	194
143	"NGC6946"	19.7	191
144	"NGC6946"	23.0	181
145	"NGC6946"	27.0	171
146	"NGC6946"	31.5	166
147	"NGC6946"	36.9	158
148	"NGC6946"	43.2	154
149	"NGC6946"	50.6	155
150	"NGC6946"	59.2	161
151	"NGC6946"	69.2	170
152	"NGC6946"	81.0	178
153	"NGC6946"	94.8	190
154	"NGC6946"	110.9	197
155	"NGC6946"	129.8	207
156	"NGC6946"	151.9	218
157	"NGC6946"	177.7	235
158	"NGC7479"	6.6	80
159	"NGC7479"	8.6	105
160	"NGC7479"	11.1	125
161	"NGC7479"	14.5	136
162	"NGC7479"	18.8	140
163	"NGC7479"	24.5	135
164	"NGC7479"	31.9	143
165	"NGC7479"	41.5	160
166	"NGC7479"	53.9	193
167	"NGC7479"	70.1	216
168	"NGC7479"	91.2	228
169	"NGC7479"	118.2	232
170	"NGC7741"	2.7	19
171	"NGC7741"	3.7	30
172	"NGC7741"	4.3	38
173	"NGC7741"	5.0	43
174	"NGC7741"	5.9	44
175	"NGC7741"	6.9	45
176	"NGC7741"	8.1	46
177	"NGC7741"	9.4	44
178	"NGC7741"	11.1	41
179	"NGC7741"	12.9	35
180	"NGC7741"	15.2	32
181	"NGC7741"	17.7	30
182	"NGC7741"	20.7	31
183	"NGC7741"	24.3	37
184	"NGC7741"	28.4	41
185	"NGC7741"	33.2	51
186	"NGC7741"	38.9	63
187	"NGC7741"	45.5	79
188	"NGC7741"	53.3	89
189	"NGC7741"	62.3	93
190	"NGC7741"	72.9	97
191	"NGC7741"	85.3	101
192	"NGC7741"	99.9	114
193	"NGC7741"	116.9	118
