recno	PGC1	PGC1+	Nm	GLON	GLAT	SGLON	SGLAT	Ksmag	logK	HRV	VLS	Nd	Dist	e_Dist	sigmaL	sigmaV	R2t	Rg	logMK	logMd	CF3	_RA_icrs	_DE_icrs
2494	6848	6848	9	140.5221	-38.805	321.5354	-6.4061	7.24	11.64	2884	3062	3	27.8	10	230	134	0.624	0.164	13.387	12.427	1	27.5788	22.0473
2693	9332	10123	4	145.1531	-24.8122	335.8323	-9.6931	8.55	9.86	534	722	1	8.67	6	55	17	0.15	8.279	11.529	12.34	1	37.2626	33.8129
2692	10123	10123	14	145.0861	-19.1927	341.5191	-9.3357	6.11	10.97	651	845	1	10.42	13	128	123	0.347	0.307	12.622	12.629	1	40.1116	38.9443
3073	2557	2557	38	121.5054	-21.7886	336.043	12.2064	1.25	10.81	-273	-14	38	0.75	3	111	114	0.302	0.234	12.441	12.447	1	11.1026	41.0637
2039	2797207	2797207	5	136.8977	8.1653	8.0657	1.3606	7.75	11.31	2413	2645	0			172	216	0.466	0.116	13.009	12.693	0	50.3347	66.8805
3242	13826	9892	8	138.5167	10.6899	10.7504	0.0501	4.5	10.27	-36	180	6	3.23	3	72	89	0.194	0.308	11.866	12.348	1	57.5886	67.9675
2154	14508	14508	15	138.0615	12.6955	12.6942	0.7156	5.28	11.8	1267	1492	2	13.86	15	266	223	0.72	0.436	13.574	13.294	1	60.2976	69.7757
3006	12174	12174	4	128.7315	19.5	18.7411	10.2224	7.88	11.24	2370	2616	1	27.42	14	163	104	0.441	0.31	12.936	12.486	1	48.9761	80.7001
3177	25861	25861	5	223.2637	33.9898	84.7544	-49.5032	7.11	10.95	1480	1311	0			126	82	0.341	0.182	12.6	12.045	1	137.585	7.0405
2414	27074	27074	7	225.1403	38.9081	87.5579	-44.7247	8.28	10.85	2146	1981	2	47.22	10	114	100	0.31	0.591	12.477	12.736	0	142.6746	8.0443
2378	27159	27159	16	223.2384	40.5635	85.7107	-42.9627	8.33	11.23	3294	3138	1	53.95	18	160	157	0.434	0.288	12.914	12.81	1	143.4641	10.111
1906	26733	26733	12	220.5648	39.3423	82.6926	-43.9055	7.95	11.42	3441	3291	1	63.97	18	190	204	0.514	0.52	13.137	13.297	1	141.4204	11.3995
1590	30445	34426	11	216.9347	55.544	83.3638	-27.5334	7.24	10.75	1201	1100	2	24.37	11	105	97	0.285	0.305	12.365	12.418	0	155.9652	19.9279
1586	30083	34426	19	212.9301	54.7765	80.6491	-27.7249	6.65	11.12	1381	1288	5	23.68	5	146	152	0.396	0.377	12.795	12.9	1	154.4338	21.8707
2501	23362	23498	5	201.4643	28.5952	55.7148	-47.0802	8.99	11.04	3537	3452	2	41.12	11	136	55	0.369	0.404	12.704	12.053	1	124.7852	21.9379
3532	23701	23701	10	197.7608	31.6141	55.0719	-42.7023	8.81	10.68	2164	2098	2	28.21	11	99	131	0.269	0.229	12.29	12.556	1	126.7991	25.9363
3455	25525	25525	8	201.3505	39.8977	64.7446	-37.9254	9.62	10.59	2813	2738	0			91	141	0.247	0.133	12.182	12.386	1	136.5272	25.4392
2808	26649	26649	7	190.1471	45.4062	61.0993	-28.5071	8.02	10.81	1723	1697	1	32.36	14	111	124	0.301	0.175	12.439	12.391	1	141.0822	34.5197
3027	24930	27077	3	190.4553	38.7611	55.8675	-33.4175	6.37	10.23	436	408	3	9.1	5	70	110	0.189	0.092	11.831	12.004	1	133.1727	33.4214
1589	30744	34426	10	201.4157	58.6193	75.7916	-21.8007	7.26	10.93	1422	1367	3	24.91	8	123	103	0.334	0.465	12.574	12.654	1	157.2484	28.8036
1591	32533	34426	14	203.9782	63.4165	79.2305	-18.0461	7.77	10.74	1451	1396	3	24.83	9	104	185	0.283	0.224	12.358	12.846	1	162.8106	28.019
2664	35064	35064	15	174.9547	68.4928	72.9841	-6.8827	7.39	11.23	2037	2048	1	23.99	14	161	104	0.435	0.288	12.919	12.45	1	171.1311	38.6832
1274	37691	37617	10	152.882	70.2456	70.9915	0.7885	6.72	10.81	883	933	1	20.61	14	111	135	0.301	0.472	12.441	12.893	0	179.3821	43.6132
1273	36699	37617	18	148.9886	65.8225	66.3443	1.0567	6.59	10.9	900	969	7	16.79	6	120	87	0.325	0.359	12.539	12.394	0	177.2548	48.0257
1267	37617	37617	24	140.5281	62.4113	62.3786	4.1407	5.99	11.27	1029	1124	8	20.08	5	166	104	0.45	0.548	12.962	12.735	1	179.4555	52.8468
3180	27777	27777	8	194.5523	49.0587	66.3617	-27.6586	7.68	10.77	1430	1389	1	17.46	18	108	112	0.291	0.108	12.396	12.09	1	145.7693	31.8927
2449	26034	26034	6	181.538	43.8043	55.1459	-25.0625	8.43	11.01	2570	2577	2	49.63	11	133	78	0.36	0.668	12.67	12.568	1	138.6783	40.5584
1271	35616	37617	9	147.0661	59.7942	60.2676	0.6254	6.84	10.99	1119	1210	2	21.39	12	130	120	0.353	0.647	12.646	12.932	0	172.6825	53.3881
1272	37642	37617	17	138.4281	60.1089	59.9911	4.9502	6.98	10.92	1076	1184	4	19.16	5	122	143	0.33	0.267	12.559	12.695	0	179.3129	55.3592
1277	36921	37617	7	139.8077	58.9546	58.8949	4.1583	7.75	10.58	1036	1145	1	19.41	14	90	102	0.245	0.186	12.17	12.243	0	177.2945	56.0869
1909	34989	35321	6	148.1325	58.7923	59.4009	-0.1156	9.22	10.83	2916	3007	0			113	115	0.306	0.13	12.459	12.196	0	170.9094	53.8282
2956	35249	35249	11	143.7525	56.7128	56.9273	1.7982	8.62	10.58	1596	1705	1	32.06	14	91	93	0.245	0.289	12.173	12.358	0	171.929	56.9013
2073	36505	34566	12	139.8747	56.4252	56.3742	3.8816	8.19	10.51	1182	1298	3	26.89	9	86	119	0.233	0.336	12.104	12.638	1	175.0036	58.2914
3299	36655	35979	5	138.1311	56.1746	56.0414	4.8243	10.15	10.32	2441	2563	0			74	98	0.2	0.122	11.908	12.029	0	176.4131	58.97
2072	34566	34566	33	143.8497	54.8595	55.1038	1.4588	6.78	11.41	1800	1913	4	28.53	7	189	251	0.512	0.405	13.13	13.367	1	169.7953	58.3619
1268	37930	37617	13	133.8148	54.5119	54.2657	7.2046	6.65	11.18	1245	1382	1	19.05	25	154	158	0.418	0.52	12.866	13.076	0	179.5882	61.4805
3298	35979	35979	4	137.6422	53.1353	52.9787	4.8897	8.94	11.07	3359	3492	1	33.57	18	140	89	0.379	0.296	12.737	12.328	1	174.0576	61.7922
3301	20884	20884	6	158.9213	26.9181	30.3724	-16.0042	8.54	11.22	3326	3446	1	31.62	18	159	108	0.432	0.145	12.908	12.19	0	110.8915	58.0514
2749	20536	21067	3	160.0867	25.7147	29.4663	-17.3407	9.78	10.69	3208	3324	0			100	100	0.271	0.117	12.301	12.025	0	109.0191	56.8169
2603	24506	24506	4	168.8734	38.1883	44.5505	-19.8867	8.47	11.22	3278	3341	0			159	94	0.432	0.205	12.908	12.217	0	130.9134	50.2059
2434	25915	25915	10	155.5056	40.3663	42.7722	-9.4637	6.83	11.15	1337	1450	3	23.05	9	150	184	0.407	0.263	12.831	12.907	1	137.5224	60.0845
3841	30176	30176	3	152.6897	49.1982	50.7508	-5.0638	9.55	10.47	2212	2317	0			83	74	0.225	0.212	12.057	12.025	0	154.8535	58.2157
3370	32495	32495	7	140.5491	47.0454	47.0781	2.4649	9.89	10.69	3326	3471	2	57.02	8	100	84	0.27	0.174	12.297	12.045	1	162.7216	65.7474
2810	28630	28630	41	141.8791	40.8662	41.0652	0.7411	2.52	10.98	7	163	33	3.65	3	129	131	0.349	0.175	12.63	12.436	1	149.0718	69.2161
1604	30019	30019	6	136.0873	39.407	39.158	4.9953	7.25	11.63	2866	3047	4	40.46	6	229	120	0.62	0.632	13.38	12.921	1	154.4652	73.5522
2841	20398	20398	4	143.4456	27.2844	27.8014	-2.4663	9.13	10.93	3051	3234	0			123	84	0.334	0.207	12.573	12.121	1	108.074	71.7757
3466	28316	28316	4	139.0104	38.6948	38.6462	2.6717	7.5	10.85	1222	1394	1	16.52	14	115	122	0.311	0.078	12.483	12.029	0	147.6291	72.2735
2944	24723	24723	6	139.8088	33.9268	33.9744	1.5097	8.2	11.03	2187	2368	3	27.85	8	135	109	0.365	0.13	12.689	12.155	1	132.0677	73.9795
2661	25069	25069	7	134.9403	32.7111	32.3854	5.448	6.81	11.23	1375	1575	3	19.13	9	161	74	0.436	0.243	12.921	12.083	1	133.9783	78.2007
1773	21231	21231	22	127.904	28.0776	27.437	11.3053	6.57	11.6	1914	2146	3	31.07	9	222	237	0.603	0.613	13.342	13.497	1	116.1635	85.4931
1124	53932	53932	84	0.2755	49.12	124.3121	31.7413	5.43	11.9	1819	1797	10	26.74	4	290	320	0.785	0.596	13.688	13.747	1	226.3139	1.7453
2943	53247	53247	6	359.4118	52.4944	121.3028	29.5097	7.32	11.03	1609	1584	2	19.11	9	135	91	0.366	0.136	12.692	12.013	1	223.4287	3.5832
2730	52365	52365	7	357.6232	56.0037	118.5515	26.7672	7.93	10.82	1665	1637	1	33.27	14	112	103	0.303	0.581	12.447	12.749	1	220.1281	5.188
3160	55665	55665	5	20.0485	48.3992	114.1923	41.9594	8.14	10.88	1882	1933	1	28.44	14	118	84	0.319	0.403	12.516	12.412	1	234.3023	12.0772
3928	55480	55480	5	23.8496	50.3644	109.9574	41.7687	8.59	10.7	1881	1942	2	21.18	12	101	153	0.274	0.103	12.314	12.342	1	233.599	15.1617
3114	55080	55080	4	67.8465	55.3045	75.2902	38.3539	8.68	10.94	2496	2651	1	35.65	14	124	108	0.337	0.151	12.584	12.201	1	231.5321	41.6713
2000	51104	51104	18	65.356	69.5902	83.1395	25.6482	7.35	11.63	3100	3189	0			229	251	0.62	0.382	13.38	13.342	0	214.3187	36.4251
1699	49820	49747	4	74.8859	71.8868	81.0723	22.2518	9.09	10.81	2676	2763	1	54.2	25	111	59	0.3	0.314	12.436	12.004	1	209.9689	38.1969
1698	49747	49747	11	74.6376	72.7428	81.5976	21.5442	7.55	11.61	3332	3413	2	57.77	13	224	229	0.607	0.801	13.352	13.583	1	209.1082	37.6701
1486	49356	49356	61	82.8792	71.6194	78.6804	21.0749	5.96	11.97	2408	2498	8	32.03	6	309	249	0.838	0.538	13.772	13.483	0	208.3022	40.3561
2136	48767	48767	9	89.1189	71.7418	77.199	19.6858	8.12	11.18	2614	2706	2	38.68	10	154	87	0.416	0.32	12.861	12.348	0	206.3545	41.6591
2139	48034	48767	6	98.6472	70.2449	73.8754	18.2857	10.5	10.24	2644	2744	0			70	104	0.19	0.179	11.836	12.25	0	204.1366	44.696
1489	50031	49356	7	95.6979	64.1095	69.2789	22.8042	8.72	10.73	1999	2130	2	32.5	10	104	98	0.28	0.388	12.344	12.534	1	210.6261	49.0912
2173	42637	47404	10	142.7717	84.2235	84.2201	5.7452	6.45	10.6	633	647	3	6.55	7	92	217	0.25	0.092	12.199	12.594	1	190.5371	32.5427
219	45749	41220	20	100.285	79.3456	81.3059	12.6498	5.97	11.24	1031	1080	5	15.03	6	162	124	0.439	0.252	12.931	12.551	1	197.9647	36.8685
2171	46153	47404	7	106.062	74.2704	76.1746	14.2395	5.7	10.8	495	571	3	7.74	5	110	110	0.297	0.146	12.42	12.207	1	198.9414	42.0515
2172	43495	47404	7	124.8317	75.7554	75.9175	9.1947	5.02	10.69	314	371	6	4.43	3	100	56	0.271	0.365	12.299	12.021	1	192.2367	41.3637
1270	38440	37617	14	148.7759	71.6177	71.9765	2.4346	6.28	11.0	896	946	5	14.36	7	131	118	0.356	0.289	12.657	12.563	0	181.9786	43.2599
2170	39600	47404	21	139.0201	68.8895	68.8037	5.3008	5.35	10.91	485	557	7	7.26	3	122	241	0.329	0.242	12.555	13.111	1	184.4171	47.1699
1275	39241	37617	9	138.912	68.7348	68.6461	5.3296	6.79	10.78	854	929	5	16.34	7	108	160	0.293	0.323	12.403	12.879	0	184.3882	47.3283
1269	38795	37617	17	140.398	65.1397	65.0962	4.4626	6.05	11.1	864	949	7	16.54	5	143	124	0.388	0.341	12.768	12.677	0	181.4393	50.4111
2137	47441	48767	11	104.3637	69.0932	71.7417	17.2199	8.43	11.05	2579	2683	1	38.37	14	137	137	0.371	0.245	12.709	12.621	1	202.3856	46.6373
2169	47404	47404	6	104.8579	68.5319	71.1368	17.3349	5.16	11.03	472	581	3	8.14	8	134	77	0.364	0.284	12.685	12.19	1	202.4837	47.2225
3063	44025	44025	6	121.9728	58.6875	59.0022	13.3675	8.86	10.88	2553	2694	2	40.1	12	118	77	0.32	0.267	12.516	12.161	1	193.8117	58.4337
4011	41436	41436	3	128.1028	58.9574	58.8623	10.1866	9.8	10.67	3124	3254	1	34.51	18	98	87	0.265	0.145	12.272	12.0	1	187.8324	57.9685
2022	41621	39568	13	126.3176	53.0887	52.9938	11.6804	8.52	11.06	2683	2839	1	34.51	14	138	192	0.375	0.247	12.723	12.923	1	188.2323	63.9177
2055	38524	38524	10	130.2495	51.3825	51.1201	9.3755	6.85	11.17	1341	1496	2	23.35	9	153	107	0.414	0.32	12.852	12.524	1	181.9672	65.1223
2846	53511	53511	5	90.5897	54.4996	62.459	30.679	9.01	11.03	3273	3450	0			135	153	0.366	0.174	12.694	12.569	0	224.6706	53.8883
2888	54110	54110	5	90.2126	52.8463	61.083	31.8623	9.1	10.99	3235	3420	1	50.82	18	130	116	0.353	0.449	12.645	12.742	1	227.2109	54.6519
2465	54470	54470	7	91.8865	51.6815	59.2655	31.7217	6.03	11.11	758	949	3	16.42	6	144	73	0.391	0.308	12.777	12.173	1	227.8967	56.1534
1758	55674	55674	11	93.0818	46.8881	53.9878	33.6883	7.25	11.64	2873	3084	3	45.84	8	231	196	0.626	0.476	13.391	13.223	1	234.7366	59.3641
2046	51978	51978	14	89.0375	60.3319	68.205	27.591	7.44	11.33	2215	2365	3	37.84	8	176	148	0.478	0.388	13.041	12.888	1	218.0829	49.6293
2047	52266	51978	6	90.7414	58.471	65.9678	28.1413	9.1	10.67	2198	2357	2	40.93	12	98	89	0.265	0.244	12.274	12.25	1	219.4392	51.4928
2175	50063	47404	9	102.0255	59.7891	63.6015	22.6095	5.9	10.44	264	414	7	6.84	3	81	230	0.219	0.123	12.025	12.775	1	210.7942	54.3308
2099	50191	50191	31	102.6447	58.9831	62.6701	22.7114	6.92	11.4	1862	2017	2	28.19	9	188	229	0.508	0.398	13.121	13.281	1	211.0929	55.1789
2100	51564	50191	6	99.5209	56.026	60.706	25.6001	8.45	10.81	1892	2063	2	28.72	11	111	106	0.301	0.231	12.438	12.371	1	216.6254	56.5681
3132	59742	59742	6	103.7653	33.3898	35.5049	31.3244	8.24	10.61	1232	1490	2	30.02	12	93	90	0.252	0.184	12.21	12.134	1	257.4583	72.3343
2711	49881	49881	3	107.2964	55.6414	58.2542	21.8371	9.04	10.98	3105	3274	1	43.45	14	128	110	0.348	0.154	12.627	12.233	1	210.2088	59.3302
2339	49044	49044	24	110.0184	55.4445	57.47	20.4676	6.55	11.58	1920	2087	5	23.28	6	219	249	0.594	0.386	13.324	13.338	1	207.6266	60.1781
2021	39568	39568	11	128.1515	50.9029	50.689	10.7104	7.74	11.36	2632	2793	0			180	146	0.488	0.269	13.068	12.719	0	184.7837	65.8967
2056	42139	38524	4	124.2367	42.9066	42.7056	13.9078	7.82	11.09	1929	2125	3	20.94	10	142	205	0.384	0.212	12.756	12.908	1	189.3506	74.1861
2054	39791	38524	14	125.5799	41.6377	41.3376	12.998	7.11	11.23	1604	1802	4	23.55	8	161	168	0.435	0.332	12.918	12.932	1	185.024	75.329
3051	69342	69342	4	87.4187	-29.6926	314.6644	37.3307	7.54	10.94	1300	1578	2	22.55	9	125	91	0.338	0.137	12.59	12.013	1	339.3901	23.7936
2304	165861	165861	4	88.7259	5.884	1.7166	48.8868	7.93	11.46	3140	3454	0			198	77	0.536	0.64	13.19	12.537	0	309.7743	51.1606
3618	65001	65001	7	95.7222	11.6665	10.0231	41.9997	5.41	10.48	38	349	1	6.23	14	84	101	0.227	0.189	12.068	12.246	0	308.7322	60.1528
2618	1851	1851	12	338.3564	-82.4234	262.9148	-3.5652	6.79	11.27	1649	1638	3	19.41	9	167	156	0.453	0.33	12.97	12.866	1	7.6189	-33.2043
4017	72444	72444	5	15.464	-75.6828	262.4504	5.8538	9.11	10.88	2985	3008	1	25.0	21	118	129	0.319	0.142	12.512	12.334	1	356.967	-30.523
3212	2789	2789	4	98.2371	-87.8903	271.6425	-4.9861	3.8	11.1	305	340	3	3.49	4	144	146	0.39	0.268	12.775	12.714	1	11.8855	-25.2082
2269	69733	69733	4	35.6453	-61.5187	264.0196	21.5508	8.14	11.34	3189	3274	2	39.22	14	176	85	0.478	0.591	13.041	12.595	1	341.8534	-22.3774
2517	72060	72060	5	70.1929	-67.744	278.7156	14.1872	7.23	11.26	1862	1979	2	26.51	12	166	77	0.449	0.351	12.959	12.274	1	354.8688	-12.5875
1878	6983	5663	7	173.1146	-70.375	286.5968	-17.3793	7.27	10.99	1438	1467	2	25.98	10	130	107	0.351	0.235	12.638	12.389	1	28.2627	-13.7738
1880	6671	5663	3	164.8176	-68.4622	289.7802	-15.699	8.7	10.58	1725	1772	0			91	92	0.245	0.177	12.173	12.14	1	27.2905	-10.4224
1877	5663	5663	12	151.4234	-67.6197	292.1162	-11.1679	6.43	11.57	1869	1943	4	23.48	7	217	91	0.587	0.367	13.307	12.442	1	23.4062	-7.1122
1929	10266	10266	9	171.9902	-51.8571	304.3726	-25.8067	5.47	11.56	1191	1243	2	15.85	10	215	177	0.583	0.36	13.301	13.013	1	40.6694	0.0906
2454	9359	9359	6	168.7092	-55.1914	301.8966	-22.6731	6.81	11.26	1568	1625	3	23.49	8	165	164	0.447	0.215	12.955	12.724	0	37.0118	-1.1495
3228	8173	8173	4	154.8995	-51.6921	307.8976	-15.7805	9.51	10.85	3386	3490	3	52.59	10	114	95	0.31	0.253	12.477	12.318	1	32.1407	6.328
1573	4946	4946	13	137.146	-57.4828	302.6684	-5.2059	6.52	11.71	2251	2382	2	32.88	10	246	80	0.665	0.807	13.471	12.674	1	20.4684	4.5466
