recno	PGC1	PGC1+	Nm	GLON	GLAT	SGLON	SGLAT	Ksmag	logK	HRV	VLS	Nd	Dist	e_Dist	sigmaL	sigmaV	R2t	Rg	logMK	logMd	CF3	_RA_icrs	_DE_icrs
1572	5222	4946	15	136.3845	-52.5204	307.6038	-4.4136	6.61	11.73	2407	2558	5	31.19	6	250	196	0.678	0.388	13.497	13.13	1	21.1111	9.4871
3667	68743	68743	4	60.2881	-47.5181	280.6166	34.9653	9.12	10.88	2853	3036	1	33.27	23	118	158	0.319	0.15	12.513	12.535	1	335.924	-3.4447
3476	70098	70098	3	71.7565	-52.1973	286.64	27.8973	9.69	10.71	3052	3239	0			101	100	0.275	0.115	12.32	12.017	0	344.3303	-1.0475
2701	69847	69847	3	69.2722	-51.3582	285.4971	29.3324	8.62	11.15	3120	3305	1	46.56	23	150	187	0.406	0.415	12.828	13.121	1	342.6487	-1.5372
4035	218	218	6	106.4391	-45.1797	309.0668	16.3813	7.12	10.86	964	1188	3	9.84	8	116	92	0.315	0.245	12.498	12.272	1	0.8349	16.1462
2780	70264	70264	10	87.9564	-39.1421	306.0889	31.0597	7.76	11.18	2053	2303	4	25.93	6	154	143	0.418	0.148	12.865	12.441	0	345.2919	16.1265
2273	18883	18883	4	234.8164	-18.2822	239.4086	-76.0071	7.21	11.02	1703	1474	2	27.61	12	133	114	0.36	0.258	12.672	12.487	1	95.2441	-27.2599
1994	19617	19617	28	236.7375	-12.7974	215.7446	-78.7225	5.8	11.77	2070	1827	5	21.5	8	258	274	0.699	0.467	13.535	13.504	0	101.7257	-26.8277
3630	18858	18858	4	227.906	-15.4647	266.7534	-80.8402	8.77	10.57	2011	1803	0			90	103	0.243	0.122	12.158	12.072	0	95.2881	-20.073
3122	17436	17436	7	225.7783	-26.6335	274.0906	-69.63	7.39	10.97	1710	1525	3	20.17	9	128	123	0.347	0.439	12.624	12.786	1	83.3759	-22.4137
2734	18047	17860	4	223.0277	-20.8116	285.7749	-74.9098	8.92	10.91	3051	2870	2	35.4	11	121	90	0.328	0.157	12.549	12.064	0	88.1559	-17.9291
2387	17422	17422	3	217.1033	-23.6615	298.5787	-70.0464	8.43	11.18	3297	3144	2	55.65	12	154	163	0.418	0.153	12.866	12.569	1	83.1751	-14.0221
3512	40023	40023	3	296.2706	26.7035	149.9562	-15.6744	8.58	10.93	2781	2514	2	26.14	12	124	140	0.334	0.293	12.575	12.721	0	185.5199	-35.7882
11	39212	43296	6	294.6965	26.7989	149.456	-16.999	7.55	11.37	2851	2581	1	34.36	14	181	161	0.491	0.275	13.076	12.812	1	183.8245	-35.4943
1449	38411	37061	25	291.6554	31.878	143.5323	-17.9431	6.47	11.51	2108	1845	9	21.48	5	205	162	0.556	0.389	13.238	12.969	1	181.8025	-30.0235
1448	37061	37061	25	287.0267	32.2628	141.6399	-21.4584	5.91	11.57	1809	1542	7	22.57	5	218	182	0.591	0.493	13.316	13.173	1	177.5391	-28.7092
1452	35539	37061	3	283.1353	29.4766	142.9676	-25.6338	7.51	10.85	1673	1396	1	19.23	14	115	83	0.311	0.242	12.479	12.182	1	172.8904	-30.3062
5	43557	43296	22	302.9333	36.4075	141.8602	-7.7062	6.82	11.81	3296	3066	7	39.89	8	267	163	0.724	0.428	13.582	13.017	1	192.8607	-26.4642
7	45466	43296	22	307.803	38.9261	140.2186	-3.4022	7.42	11.48	2995	2783	2	38.06	12	201	118	0.544	0.444	13.21	12.747	1	196.9994	-23.789
1667	46525	46490	12	312.1284	41.016	138.7097	0.2138	6.34	11.42	1773	1576	5	19.92	6	190	206	0.515	0.336	13.137	13.114	1	200.2974	-21.3239
1218	46247	46247	56	310.9324	45.9669	133.6849	0.0965	5.83	11.95	2488	2304	7	27.87	5	304	343	0.824	0.505	13.751	13.735	0	198.6516	-16.5446
212	42407	41220	17	299.0136	51.3012	126.6569	-6.3033	4.89	11.62	1196	1013	3	11.31	6	226	466	0.613	0.456	13.365	13.957	1	190.3607	-11.4945
1451	34160	37061	5	277.2633	31.1475	138.7136	-29.4098	6.74	10.97	1405	1128	2	19.92	10	128	72	0.347	0.439	12.622	12.314	1	168.3224	-26.7863
2323	33667	33667	7	271.7403	36.9801	130.2129	-30.0896	8.45	11.26	3717	3459	0			165	159	0.446	0.233	12.952	12.731	0	166.825	-19.5053
1450	37969	37061	26	286.2899	42.1464	131.845	-17.8521	5.95	11.5	1676	1438	12	21.6	4	204	120	0.552	0.532	13.228	12.848	1	179.8783	-19.0412
3606	36827	36827	5	278.5761	49.0301	122.7105	-18.976	8.27	10.61	1721	1507	1	23.01	14	93	55	0.252	0.427	12.207	12.068	0	176.8815	-10.7956
2703	35088	35088	7	269.9252	47.1351	120.4159	-24.669	7.38	10.99	1770	1548	2	26.16	7	130	113	0.352	0.427	12.642	12.697	1	170.7563	-9.9916
3153	36304	36304	6	273.5458	52.6907	117.5922	-19.2444	8.68	10.47	1742	1543	1	36.31	11	83	96	0.224	0.223	12.053	12.272	1	175.4532	-6.1626
1072	37845	39659	6	277.3697	59.2045	113.7814	-13.4463	7.33	10.84	1439	1270	1	29.92	18	114	64	0.308	0.593	12.467	12.35	1	180.0944	-1.1094
1224	47394	46247	3	315.6374	43.9841	136.0782	3.1428	7.7	10.75	1541	1363	1	25.59	14	105	70	0.285	0.231	12.367	12.013	1	202.4347	-17.9407
1222	46441	46247	5	312.9401	47.513	132.3529	1.6805	8.68	10.95	2853	2679	2	27.62	12	125	77	0.339	0.195	12.592	12.025	0	199.8334	-14.8159
1220	46456	46247	7	313.5645	49.632	130.3018	2.3581	7.89	11.28	2912	2746	0			169	138	0.457	0.145	12.982	12.403	1	199.8949	-12.6579
2249	45146	45146	5	307.8227	51.2544	128.1183	-0.9924	8.29	11.24	3331	3158	0			163	130	0.441	0.244	12.936	12.573	1	195.9809	-11.4987
223	45313	41220	7	309.6208	54.7219	124.9118	0.7142	6.91	11.12	1611	1453	2	14.68	13	146	178	0.396	0.134	12.794	12.59	1	196.7542	-7.9474
243	45165	41220	4	308.8327	56.865	122.724	0.6605	7.85	10.46	1191	1040	1	15.0	25	82	76	0.222	0.229	12.041	12.076	0	196.0979	-5.8583
1127	52455	53932	18	351.7225	51.7533	124.5538	25.6993	7.11	11.19	1771	1720	4	25.8	9	155	99	0.42	0.32	12.873	12.459	0	220.6163	-0.2786
1125	52665	53932	10	354.8707	52.9538	122.4074	26.8972	6.71	11.32	1699	1657	1	30.48	14	174	157	0.471	0.442	13.021	12.997	1	221.1936	1.9132
1132	51787	53932	15	351.7758	56.4588	119.8605	23.7074	7.97	10.79	1663	1618	3	26.88	9	109	139	0.296	0.264	12.417	12.67	1	217.4846	3.2349
1126	51233	53932	12	349.0502	58.3138	118.7313	21.5833	6.69	11.25	1579	1527	5	23.63	7	164	163	0.444	0.299	12.945	12.86	1	215.1544	3.6677
226	49547	41220	17	340.836	63.2258	115.4671	16.0556	6.54	11.09	1242	1176	3	17.28	9	142	155	0.384	0.222	12.757	12.689	1	208.994	5.2071
222	43321	41220	5	301.8693	54.2007	124.3958	-3.7897	6.48	11.12	1366	1193	1	19.5	21	146	130	0.396	0.233	12.795	12.554	0	192.2308	-8.6659
216	43276	41220	19	301.9558	57.0038	121.7149	-2.9544	6.27	11.27	1437	1278	4	13.28	8	166	80	0.451	0.338	12.964	12.29	0	192.3251	-5.8639
3412	44891	44891	7	307.6198	58.2383	121.2512	0.286	8.57	11.08	3104	2957	1	30.2	23	140	94	0.38	0.126	12.742	12.009	1	195.3329	-4.5434
2224	42375	42375	6	297.6874	57.5226	120.4984	-4.9848	7.49	11.34	2600	2436	1	36.64	14	177	191	0.479	0.205	13.045	12.833	1	190.0344	-5.234
225	42975	41220	7	299.4049	62.399	116.1779	-2.5494	6.94	11.11	1588	1446	3	15.23	8	144	121	0.391	0.224	12.778	12.476	0	191.2261	-0.428
229	43671	41220	8	303.4732	61.6869	117.4173	-0.9344	6.77	10.79	1072	934	0			110	138	0.297	0.263	12.418	12.664	1	193.1163	-1.1838
1074	41083	39659	3	291.4393	60.4181	116.56	-6.8245	9.12	10.63	2443	2286	0			95	85	0.257	0.18	12.23	12.072	0	187.2115	-1.9486
230	41618	41220	6	292.7271	62.6262	114.8174	-5.3245	7.45	10.77	1392	1247	2	8.96	8	107	163	0.291	0.045	12.393	12.037	1	188.1869	0.1254
231	42797	41220	8	298.1652	64.7729	113.7537	-2.2789	7.42	10.77	1352	1220	0			107	92	0.289	0.242	12.387	12.272	0	190.8286	1.9764
256	43798	41220	7	304.1925	65.0476	114.2526	0.2417	8.29	10.07	943	819	0	16.0	20	63	88	0.17	0.166	11.694	12.064	0	193.3916	2.1811
214	41789	41220	22	293.0511	64.927	112.7819	-4.2292	6.36	11.4	1685	1550	4	14.33	5	187	142	0.506	0.341	13.114	12.797	1	188.6857	2.376
227	42734	41220	29	297.5995	65.8281	112.6814	-2.1339	5.91	11.0	919	794	5	16.2	7	131	140	0.355	0.472	12.653	12.929	1	190.6755	3.0468
3045	43998	43998	10	305.7477	70.9405	108.6686	2.2156	8.48	11.01	2711	2615	0			132	150	0.357	0.203	12.662	12.619	0	193.7879	8.0891
3036	29265	29265	6	247.7627	36.7855	112.3778	-42.8598	5.9	10.51	681	451	2	10.56	9	86	72	0.232	0.337	12.1	12.204	1	151.3008	-7.7039
228	33550	41220	7	255.5324	52.8297	108.5327	-26.2127	5.84	10.9	874	687	1	13.24	14	120	346	0.325	0.393	12.539	13.633	1	166.453	-0.0358
2462	34778	34778	17	256.9765	57.7835	106.4518	-21.5655	7.1	10.95	1477	1309	2	26.98	9	126	202	0.342	0.34	12.603	13.1	1	170.2898	3.2057
1823	27762	27762	5	239.5274	35.0066	104.6828	-47.1132	6.24	11.44	1759	1540	1	22.08	13	194	138	0.525	0.612	13.164	13.025	1	145.6401	-3.7136
3161	27635	27635	8	230.1702	39.6711	92.9933	-43.9362	8.35	10.72	1954	1774	2	28.24	9	102	70	0.278	0.241	12.332	12.033	1	145.2969	5.0532
1824	29814	27762	11	238.1881	45.5626	99.4987	-37.2222	6.52	11.01	1246	1062	2	22.89	7	132	82	0.357	0.359	12.663	12.338	1	153.4887	3.4238
218	32256	41220	40	233.6416	57.7652	93.708	-25.7128	4.78	11.24	757	625	7	10.7	3	163	357	0.44	0.404	12.934	13.672	1	162.1157	12.5816
3593	28821	28821	3	225.5159	46.6692	88.4073	-36.9851	9.83	10.51	2907	2759	1	46.56	25	86	75	0.232	0.29	12.097	12.167	0	149.7542	11.4567
3152	30463	30463	7	228.2831	52.5302	90.649	-31.1447	8.77	10.94	2927	2787	3	37.91	12	125	156	0.338	0.137	12.591	12.48	1	155.9055	12.6251
3128	32178	32178	5	231.3118	57.9652	92.318	-25.6355	8.88	10.95	3072	2942	0			125	97	0.339	0.256	12.595	12.342	0	161.646	13.7505
220	40001	41220	10	284.4892	66.6498	109.5722	-6.4769	6.66	11.16	1479	1349	5	16.99	8	151	269	0.408	0.503	12.836	13.521	1	185.6306	4.819
1070	39659	39659	129	281.8706	67.4548	108.3247	-6.8704	5.19	12.13	2224	2094	18	31.39	4	356	382	0.963	0.649	13.954	13.938	0	184.8974	5.8946
291	39483	41220	6	281.1976	67.6474	108.0161	-6.9665	9.61	9.47	880	752	2	16.54	12	45	163	0.123	0.219	11.27	12.723	0	184.7164	6.1606
224	40375	41220	7	283.0135	70.0578	106.4191	-5.0388	6.33	11.11	1205	1097	6	22.36	5	145	224	0.392	0.66	12.782	13.479	1	186.117	8.236
211	41220	41220	714	283.9352	74.5198	102.8803	-2.297	2.52	12.74	1336	1240	170	15.76	3	610	794	1.652	1.28	14.656	14.867	1	187.7558	12.4059
1071	38890	39659	11	267.6078	73.6514	100.5384	-6.1964	7.38	11.24	2165	2068	8	33.31	6	162	185	0.439	0.741	12.931	13.367	1	183.2248	13.4828
1785	36678	36200	10	250.8149	69.6858	98.1278	-12.3179	8.38	11.19	3198	3089	0			155	166	0.421	0.301	12.874	12.879	1	176.4735	13.7624
251	42741	41220	3	294.5364	75.9528	102.9276	0.7547	8.45	10.14	1036	956	3	22.05	6	66	70	0.178	0.25	11.753	12.053	1	190.7733	13.2173
2174	44182	47404	4	315.686	84.4217	95.608	6.1263	5.38	10.57	413	379	2	5.11	6	90	106	0.243	0.224	12.158	12.358	1	194.1828	21.6815
221	43451	41220	6	295.1881	88.3663	91.5203	5.701	6.34	11.13	1147	1133	2	12.13	7	148	125	0.4	0.143	12.808	12.314	1	192.6156	25.5092
213	42038	41220	9	229.9165	86.0709	90.1746	2.3948	5.75	11.45	1272	1250	3	13.15	6	196	95	0.531	0.343	13.179	12.455	1	188.6811	25.9189
215	34695	41220	15	241.4621	64.3631	96.3792	-18.533	4.78	11.32	808	685	5	9.69	5	174	167	0.472	0.196	13.025	12.7	1	169.8843	13.1309
1587	34426	34426	19	230.6554	66.5906	91.3647	-17.0505	6.34	11.06	1141	1042	6	22.14	5	139	246	0.376	0.367	12.728	13.307	1	169.3962	18.1081
1788	36535	36200	6	243.8749	71.2155	95.3604	-11.6918	9.3	10.87	3339	3243	0			116	106	0.316	0.221	12.501	12.358	0	176.1169	16.5193
1784	36200	36200	20	239.368	70.8975	93.9936	-12.3654	7.87	11.45	3401	3308	0			196	142	0.53	0.422	13.176	12.89	0	174.9623	17.5302
1787	35968	36200	9	237.5751	70.475	93.4827	-12.896	9.28	10.89	3405	3312	0			119	76	0.322	0.257	12.526	12.134	0	174.2536	17.8025
1593	32787	34426	15	226.6576	61.2734	89.6296	-22.4043	8.43	10.16	1083	973	4	23.13	7	67	70	0.18	0.24	11.771	12.037	1	163.5723	17.3596
3549	36914	36914	5	210.1505	76.1654	85.9111	-6.8994	8.45	10.67	1786	1745	3	24.89	10	98	97	0.265	0.229	12.272	12.29	1	177.3192	26.9416
2453	37666	37666	11	205.5186	78.1915	85.6172	-4.6479	8.45	11.27	3521	3490	0			166	149	0.451	0.387	12.965	12.898	0	179.5693	28.0235
217	40692	41220	44	191.2454	83.0484	85.908	0.6936	5.24	11.25	795	781	9	16.32	4	164	309	0.444	0.522	12.944	13.658	1	185.4351	29.5008
2455	38081	37666	4	197.912	79.1556	84.6831	-3.1361	10.29	10.52	3457	3435	1	48.08	18	86	85	0.233	0.184	12.107	12.083	1	180.8179	29.4218
2283	37544	37544	13	186.5813	77.1752	81.6473	-3.4228	8.15	11.31	3214	3204	0			173	116	0.469	0.221	13.017	12.43	0	179.2703	32.1606
3074	5064336	2557	16	359.2117	-0.6057	186.4285	41.4388	1.89	10.56	9	-36	16	0.01	3	89	78	0.241	1.544	12.146	12.935	0	266.5276	-29.9245
2333	61713	61536	5	41.0837	13.2073	131.4834	80.7391	8.73	11.04	2885	3067	0			136	136	0.369	0.31	12.705	12.721	0	274.571	13.1228
2433	61128	61128	6	43.7438	20.3385	103.7454	75.5467	7.92	11.42	3074	3259	1	40.18	8	190	121	0.515	0.205	13.137	12.436	1	268.8892	18.3623
2995	59426	59426	10	43.5268	34.0516	96.8027	62.0412	8.68	11.06	2894	3055	1	38.02	21	138	146	0.375	0.298	12.726	12.761	1	255.0877	23.0106
2981	15941	15941	5	268.8126	-38.986	227.4857	-40.4205	7.04	10.7	1194	952	0			101	124	0.273	0.189	12.314	12.425	0	71.4255	-59.2699
909	14765	13418	31	265.5612	-43.5138	234.1955	-39.9642	4.72	11.69	1239	1016	8	17.69	4	241	242	0.653	0.654	13.447	13.544	1	64.3718	-55.7811
2918	16779	16779	6	241.4587	-36.13	248.5265	-57.5149	6.06	10.96	1024	814	4	10.86	8	126	103	0.343	0.138	12.606	12.127	0	76.6795	-37.7449
918	13727	13418	9	251.2558	-51.9991	250.9324	-40.2607	7.03	10.75	1174	1001	2	17.66	7	105	100	0.286	0.361	12.369	12.521	1	55.3533	-44.3547
2962	12209	12209	3	247.5341	-57.076	256.4619	-36.8351	5.82	10.89	818	675	2	9.24	8	119	112	0.323	0.234	12.53	12.43	1	49.2825	-41.1056
908	12651	13418	13	239.9775	-56.6784	261.166	-38.6688	5.36	11.79	1669	1532	4	18.34	5	263	209	0.713	0.416	13.562	13.217	1	50.7026	-37.1084
907	13418	13418	120	236.6231	-53.8838	262.6904	-41.8472	4.43	12.06	1502	1360	49	18.09	3	333	380	0.902	0.607	13.869	13.902	0	54.3184	-35.3897
913	14638	13418	12	232.6135	-46.445	264.4219	-49.6209	6.34	11.08	1224	1068	3	17.17	9	141	173	0.382	0.257	12.75	12.848	1	63.1319	-32.4793
2756	3089	3089	11	304.3276	-85.8361	265.911	-7.243	7.58	10.92	1585	1572	1	23.33	14	123	130	0.332	0.441	12.568	12.835	1	12.7409	-31.2909
917	12923	13418	9	229.7369	-55.7133	268.2449	-40.5707	7.14	10.8	1238	1117	3	19.48	7	110	130	0.298	0.379	12.427	12.769	0	52.0658	-31.4462
916	12431	13418	5	219.6202	-56.9201	275.437	-39.0334	7.78	10.85	1682	1590	1	22.39	14	115	95	0.312	0.234	12.484	12.281	1	49.9607	-26.0177
912	10488	13418	6	226.3661	-64.7748	270.502	-31.5408	6.24	11.21	1267	1184	2	18.31	10	159	159	0.43	0.389	12.902	12.953	1	41.4692	-30.0411
920	11479	13418	4	212.1124	-60.0644	279.2279	-35.0231	8.26	10.53	1436	1370	1	21.78	14	87	88	0.236	0.155	12.121	12.037	1	45.6511	-22.8797
1432	13434	13505	5	221.5596	-52.7762	274.8271	-43.3001	6.61	11.32	1691	1583	2	29.4	16	173	76	0.47	0.458	13.017	12.389	0	54.7286	-26.3501
910	13419	13418	29	216.5805	-51.9951	279.138	-43.4646	5.95	11.58	1681	1585	13	20.17	4	220	193	0.595	0.515	13.326	13.246	1	54.8196	-23.2141
911	12838	13418	19	212.2608	-54.017	281.6647	-40.7579	6.37	11.35	1563	1482	7	20.92	5	180	202	0.486	0.433	13.064	13.207	1	51.9446	-21.2755
1431	13505	13505	29	209.7081	-50.3292	285.5066	-43.5763	5.87	11.62	1670	1589	5	27.67	7	226	331	0.613	0.531	13.364	13.724	1	55.1204	-18.6044
1434	12412	13505	4	207.9949	-55.2189	284.0339	-38.7028	7.58	10.9	1603	1537	1	27.16	11	120	72	0.326	0.289	12.544	12.134	0	49.8898	-19.3188
