recno,6dFGS,Group,DL,r/R200,dv/sigma,log(M*),log(MHI),dHI,dopt,dNUV,SFR,f_SFR,SimbadName,_RA,_DE
1,g1006222-264958,field,68.2797380686706,4.842023653337419,1.175000000000000,8.89392236534249,8.7,12.85878692634398,18.8081252697021,14.57111905569369,-0.381733370754934,0,6dFGS gJ1006222-264958,151.5925000,-26.8327500
2,g1010470-285406,field,63.1029750295026,4.193848756175539,0.667603550295858,10.15428330886891,8.9,16.23304527765459,51.1825459821546,,,1,6dFGS gJ1010470-285406,152.6960000,-28.9015833
3,g1019338-264156,field,35.9756149129677,2.786206398105734,2.005473372781065,10.55764104556155,8.4,9.06567195738355,150.2728421343825,71.73280816848801,,0,6dFGS gJ1019338-264156,154.8909583,-26.6988889
4,g1023024-260448,infall,54.0534600222414,2.408704882222065,0.221449704142012,9.39479189836173,8.6,11.44458370758711,23.5512530318743,29.84831525144209,-0.202665116443399,0,6dFGS gJ1023024-260448,155.7599583,-26.0800278
5,g1025185-295118,infall,59.5612720620058,2.439917614986203,0.319970414201184,8.75066080032931,8.6,11.44458370758711,21.6178524923793,18.09271911940494,-1.006983334831038,0,6dFGS gJ1025185-295118,156.3269583,-29.8550833
6,g1030385-273535,cluster,56.3050374033586,0.959705218160229,0.453698224852071,10.06881805919136,8.8,14.44774274380104,65.5122146062530,24.23628669260304,,1,6dFGS gJ1030385-273535,157.6605833,-27.5929444
7,g1030494-283431,infall,56.3847832242097,1.191672503558663,0.007840236686391,9.59325022504506,8.6,11.44458370758711,24.9408333171909,,-1.758171504539677,1,6dFGS gJ1030494-283431,157.7058750,-28.5753056
8,g1031024-284260,infall,54.3090659734580,1.232386954728236,0.196301775147929,10.72627378896531,8.8,14.44774274380104,71.5631442361056,26.75132743842541,-0.785999202619839,1,6dFGS gJ1031024-284260,157.7600000,-28.7166389
9,g1031031-281826,infall,61.0226676333192,1.051778853409185,0.463461538461539,10.03262462805254,8.8,14.44774274380104,35.8540404233899,6.44762612129729,-1.426143063699505,1,6dFGS gJ1031031-281826,157.7627083,-28.3072222
10,g1031141-283956,infall,56.3998298405582,1.185082635764674,0.009319526627219,10.26815943510352,8.8,14.44774274380104,32.5502079526503,7.28192258011011,,0,6dFGS gJ1031141-283956,157.8087500,-28.6654444
11,g1031330-283858,infall,51.6488143649854,1.141494088693248,0.458136094674556,9.35022473433738,8.5,10.18591388054117,24.0296570823691,15.55243077226044,-0.792162114851595,0,6dFGS gJ1031330-283858,157.8875000,-28.6493611
12,g1031484-263356,infall,62.0475692889952,1.036479604437437,0.564053254437870,10.65464145281946,8.9,16.23304527765459,67.4067289627358,,,1,6dFGS gJ1031484-263356,157.9514583,-26.5654167
13,g1031494-285760,infall,55.0308933571224,1.283987125588718,0.125295857988165,9.78059303570689,8.6,11.44458370758711,28.6083861761043,9.55155437552811,-1.630916520011524,1,6dFGS gJ1031494-285760,157.9559167,-28.9665556
14,g1031546-283738,infall,51.6187683944413,1.090477339474316,0.461094674556213,10.43306113600867,8.7,12.85878692634398,46.5100956632643,15.83372786198897,-1.165863479892176,1,6dFGS gJ1031546-283738,157.9774167,-28.6270833
15,g1032065-262753,infall,70.5161474570461,1.051560083745547,1.393934911242604,9.66321691073432,8.8,14.44774274380104,23.5116474222937,12.51788305101095,-0.677037246806165,0,6dFGS gJ1032065-262753,158.0271667,-26.4648056
16,g1032067-260151,infall,47.0252567221307,1.293130192949790,0.913757396449704,8.76077079930834,8.4,9.06567195738355,36.7489116137541,21.48846860502578,-1.434289306418344,0,6dFGS gJ1032067-260151,158.0280417,-26.0309167
17,g1032240-284743,infall,56.8964100403701,1.132187951606441,0.058136094674556,9.07018240140655,8.6,11.44458370758711,31.1362686700704,14.91151125512627,-1.091205828303274,0,6dFGS gJ1032240-284743,158.0997917,-28.7953889
18,g1032280-273145,cluster,56.3050374033586,0.669932614187168,0.232692307692308,9.88165500471926,8.6,11.44458370758711,24.6359543132862,11.90706915823885,-1.291434947683211,1,6dFGS gJ1032280-273145,158.1165417,-27.5292778
19,g1032295-261153,infall,44.2365438253514,1.160329028985645,1.188905325443787,9.58268850576870,8.4,9.06567195738355,40.8148764002903,21.07387935448525,-1.244987814190707,0,6dFGS gJ1032295-261153,158.1227083,-26.1981389
20,g1033065-262518,cluster,56.3050374033586,0.972935816478612,1.104585798816568,9.48765716222701,8.6,11.44458370758711,40.0027464288167,20.33601161866309,-0.845272380771987,0,6dFGS gJ1033065-262518,158.2771667,-26.4215833
21,g1033073-270532,cluster,56.3050374033586,0.645702481973062,0.785946745562130,,,,77.1142473451375,,,1,6dFGS gJ1033073-270532,158.2805833,-27.0922778
22,g1033075-270546,cluster,56.3050374033586,0.643980013072057,0.593639053254438,10.22240462832692,8.8,14.44774274380104,77.4295236057814,28.94452147772530,-1.073376166955571,1,6dFGS gJ1033075-270546,158.2813333,-27.0960833
23,g1033102-243234,infall,56.9716565528900,2.203605458511057,0.065532544378698,9.89323523483782,8.7,12.85878692634398,78.1253065170071,42.62595016508192,-0.967007444125946,0,6dFGS gJ1033102-243234,158.2925000,-24.5428056
24,g1033301-265351,cluster,56.3050374033586,0.676830806321106,0.329437869822485,10.62634298052548,8.8,14.44774274380104,67.0189333659905,16.87888118683290,-0.965284718453179,1,6dFGS gJ1033301-265351,158.3752083,-26.8975278
25,g1033339-261803,infall,44.4313697267989,1.006247746641799,1.169674556213018,9.29514179010396,8.4,9.06567195738355,24.0260702908141,7.37112739966229,-1.466288097353732,0,6dFGS gJ1033339-261803,158.3912500,-26.3008333
26,g1033359-270122,cluster,56.3050374033586,0.608498328071695,1.217011834319526,9.56952361902252,8.6,11.44458370758711,43.3082141704253,13.90733086719835,-0.841395461875735,0,6dFGS gJ1033359-270122,158.3995000,-27.0228056
27,g1033410-282034,cluster,56.3050374033586,0.753551231915536,0.632692307692307,9.19972623320843,8.6,11.44458370758711,33.7006459003749,5.63543140476937,-1.641424540383842,1,6dFGS gJ1033410-282034,158.4206250,-28.3428333
28,g1033485-280017,cluster,56.3050374033586,0.570961058800942,0.146005917159763,9.83027465988303,8.6,11.44458370758711,53.0121816241579,30.28306650115115,-1.057253880099792,0,6dFGS gJ1033485-280017,158.4519583,-28.0046111
29,g1033598-272706,cluster,56.3050374033586,0.430928253028538,0.465532544378698,10.01249926460831,8.7,12.85878692634398,38.7845314703499,,,1,6dFGS gJ1033598-272706,158.4990417,-27.4517778
30,g1034007-274346,cluster,56.3050374033586,0.449357392502338,1.012869822485207,9.64841128675781,8.6,11.44458370758711,19.7608182906312,,-1.640408122302269,1,6dFGS gJ1034007-274346,158.5028333,-27.7293611
31,g1034066-280236,cluster,56.3050374033586,0.551758631365394,0.577958579881657,9.48133766937259,8.6,11.44458370758711,30.4685086529951,18.41665306728810,-0.898186828415875,0,6dFGS gJ1034066-280236,158.5274167,-28.0433889
32,g1034145-273935,cluster,56.3050374033586,0.400472584497264,0.100147928994083,9.82918346790521,8.6,11.44458370758711,36.0803143424990,10.42406996250083,-1.526141870068031,1,6dFGS gJ1034145-273935,158.5602083,-27.6595833
33,g1034166-283406,cluster,56.3050374033586,0.837459763814841,0.307248520710059,9.23125517281793,8.6,11.44458370758711,26.3341697506130,14.96632639591601,-0.676802451232834,0,6dFGS gJ1034166-283406,158.5690417,-28.5681944
34,g1034237-262937,cluster,56.3050374033586,0.822359204434552,0.845118343195267,10.08581378018298,8.8,14.44774274380104,50.6883722836779,19.06488748249106,,0,6dFGS gJ1034237-262937,158.5985417,-26.4936667
35,g1034357-283405,cluster,56.3050374033586,0.815777078745306,0.348668639053254,10.03631299709596,8.8,14.44774274380104,33.8293929861034,21.16325986251269,-1.208293465150315,1,6dFGS gJ1034357-283405,158.6486250,-28.5681111
36,g1034388-283460,cluster,56.3050374033586,0.822485168613334,0.492159763313609,9.64002116718025,8.6,11.44458370758711,35.0886117087505,54.26741918814388,,0,6dFGS gJ1034388-283460,158.6614583,-28.5833056
37,g1034397-264046,cluster,56.3050374033586,0.684830492998039,0.818491124260355,9.46758701916214,8.6,11.44458370758711,35.1816095073703,,,1,6dFGS gJ1034397-264046,158.6652917,-26.6794444
38,g1034475-282947,cluster,56.3050374033586,0.756415797397617,0.906360946745562,10.54911228305206,8.8,14.44774274380104,62.0722327016521,26.81679274129779,-0.910159297497524,1,6dFGS gJ1034475-282947,158.6977917,-28.4963333
39,g1034477-271252,cluster,56.3050374033586,0.374044763208675,0.848076923076923,,,,51.2162846052788,,,1,6dFGS gJ1034477-271252,158.6988750,-27.2145000
40,g1034479-255608,infall,47.3402739957094,1.174656563634043,0.882692307692307,8.95879403887388,8.4,9.06567195738355,22.6676419860501,5.96098011200238,,0,6dFGS gJ1034479-255608,158.6996250,-25.9354722
41,g1034490-282503,cluster,56.3050374033586,0.703394653565609,1.288017751479290,9.76115544560708,8.6,11.44458370758711,41.1762999779943,19.65849569114201,-0.628291801151380,1,6dFGS gJ1034490-282503,158.7042500,-28.4174722
42,g1034506-283459,cluster,56.3050374033586,0.810604923632120,0.573520710059171,10.25261833370063,8.8,14.44774274380104,104.4442139023369,,,1,6dFGS gJ1034506-283459,158.7106250,-28.5830000
43,g1034508-283046,cluster,56.3050374033586,0.763722830868638,0.555769230769230,10.09411536566074,8.8,14.44774274380104,30.3660482083131,18.72541022837126,,1,6dFGS gJ1034508-283046,158.7118333,-28.5126944
44,g1034535-264228,cluster,56.3050374033586,0.649963450046566,1.855473372781065,,,,24.7877251606238,,,1,6dFGS gJ1034535-264228,158.7230833,-26.7078611
45,g1034541-285432,infall,62.5149182195583,1.028321062407694,0.609911242603551,9.55275813845837,8.7,12.85878692634398,17.4451936983162,7.45264306488272,,1,6dFGS gJ1034541-285432,158.7255000,-28.9087500
46,g1035121-271011,cluster,56.3050374033586,0.346997692046109,0.734171597633136,,,,36.5385220636933,,,1,6dFGS gJ1035121-271011,158.8005833,-27.1696389
47,g1035169-293726,infall,62.8466286417496,1.515877829837657,0.642455621301775,9.86737252386733,8.7,12.85878692634398,36.7831214484419,21.43021254608486,-0.428174463219172,0,6dFGS gJ1035169-293726,158.8203333,-29.6238056
48,g1035205-272144,cluster,56.3050374033586,0.244050832809928,1.211982248520710,,,,74.2780726584966,,,1,6dFGS gJ1035205-272144,158.8354167,-27.3620833
49,g1035248-272856,cluster,56.3050374033586,0.205634723936297,1.234763313609467,,,,58.6359899555974,,,1,6dFGS gJ1035248-272856,158.8531250,-27.4821111
50,g1035250-263926,cluster,56.3050374033586,0.652054216625717,0.061094674556213,,,,81.1136858219616,,,1,6dFGS gJ1035250-263926,158.8543333,-26.6571111
51,g1035308-272250,cluster,56.3050374033586,0.213750932357728,0.956065088757397,,,,41.5849935709316,,,1,6dFGS gJ1035308-272250,158.8785000,-27.3805278
52,g1035383-273135,cluster,56.3050374033586,0.167627514185120,1.163757396449704,,,,31.0307924250409,,,1,6dFGS gJ1035383-273135,158.9095417,-27.5262778
53,g1035447-270001,cluster,56.3050374033586,0.403795948056846,1.959615384615384,,,,37.2329325522229,,,1,6dFGS gJ1035447-270001,158.9362083,-27.0001944
54,g1035536-281727,cluster,56.3050374033586,0.561889448916655,0.413757396449704,10.16280557222694,8.8,14.44774274380104,41.4898145168531,,,1,6dFGS gJ1035536-281727,158.9734583,-28.2908333
55,g1035539-272220,cluster,56.3050374033586,0.166815141126433,0.630621301775148,,,,29.1024299792719,,,1,6dFGS gJ1035539-272220,158.9745833,-27.3722222
56,g1035557-271412,cluster,56.3050374033586,0.238825349475496,0.104585798816568,,,,21.7011553171983,,,1,6dFGS gJ1035557-271412,158.9822500,-27.2367778
57,g1035579-271909,cluster,56.3050374033586,0.186995310426776,0.810207100591716,,,,43.8144089995822,,,1,6dFGS gJ1035579-271909,158.9912083,-27.3191111
58,g1035582-273345,cluster,56.3050374033586,0.118346272086428,0.288017751479290,9.86034480631274,8.6,11.44458370758711,54.4354690393674,17.46792432101163,,1,6dFGS gJ1035582-273345,158.9922917,-27.5624722
59,g1036019-274107,cluster,56.3050374033586,0.155861248414693,0.423520710059172,9.26790580760237,8.6,11.44458370758711,24.3323769204617,,,1,6dFGS gJ1036019-274107,159.0077917,-27.6853056
60,g1036039-275508,cluster,56.3050374033586,0.298961652487686,0.441272189349113,9.55602888358673,8.6,11.44458370758711,24.4318082029308,7.27092187482118,-1.650633545569272,1,6dFGS gJ1036039-275508,159.0161250,-27.9189167
61,g1036043-273032,cluster,56.3050374033586,0.099710747683309,2.206656804733727,9.89272716506188,8.6,11.44458370758711,29.3764557358364,,,1,6dFGS gJ1036043-273032,159.0177500,-27.5088611
62,g1036110-272715,cluster,56.3050374033586,0.095563451406012,1.652810650887574,9.96351532690451,8.7,12.85878692634398,35.1436305792695,,,1,6dFGS gJ1036110-272715,159.0458333,-27.4541667
63,g1036118-270944,cluster,56.3050374033586,0.270597116612869,0.287426035502959,,,,56.0748164483447,,,1,6dFGS gJ1036118-270944,159.0492500,-27.1622222
64,g1036130-274119,cluster,56.3050374033586,0.139655721968068,0.593639053254438,9.65311346987328,8.6,11.44458370758711,43.8819692047119,10.90057682577026,-1.615772355494130,1,6dFGS gJ1036130-274119,159.0543333,-27.6886111
65,g1036172-273147,cluster,56.3050374033586,0.065113342504398,0.030029585798817,9.90378217773099,8.6,11.44458370758711,45.0637782382400,21.29633840502689,,0,6dFGS gJ1036172-273147,159.0715417,-27.5296944
66,g1036190-274317,cluster,56.3050374033586,0.153036149327982,0.464053254437870,9.67295224287676,8.6,11.44458370758711,26.9753382033465,3.01234013644322,,1,6dFGS gJ1036190-274317,159.0789583,-27.7213889
67,g1036209-270960,cluster,56.3050374033586,0.261498555849310,0.185946745562130,,,,26.6540017376043,,,1,6dFGS gJ1036209-270960,159.0870833,-27.1666111
68,g1036215-264623,cluster,56.3050374033586,0.539422059584176,1.011390532544378,,,,60.4841888501882,,,1,6dFGS gJ1036215-264623,159.0894167,-26.7730278
69,g1036224-272617,cluster,56.3050374033586,0.080218065620555,0.363461538461538,10.88953433777510,8.8,14.44774274380104,91.0227489214320,,,1,6dFGS gJ1036224-272617,159.0931667,-27.4381389
70,g1036231-272115,cluster,56.3050374033586,0.131285200572853,1.197781065088757,,,,36.3909095879051,,,1,6dFGS gJ1036231-272115,159.0961250,-27.3541944
71,g1036248-265958,cluster,56.3050374033586,0.377618512244178,0.461982248520710,,,,70.6713004968477,,,1,6dFGS gJ1036248-265958,159.1034583,-26.9995278
72,g1036249-273454,cluster,56.3050374033586,0.060550871118810,1.474408284023668,9.83943333308691,8.6,11.44458370758711,33.2954787281637,,-1.721039453044508,1,6dFGS gJ1036249-273454,159.1037083,-27.5817500
73,g1036277-271909,cluster,56.3050374033586,0.151271763127399,0.603106508875739,,,,41.0320678636355,,,1,6dFGS gJ1036277-271909,159.1152500,-27.3192222
